fold,held_group,test_size,selected_features,selected_portion,selected_c,selected_gamma,validation_score,accuracy,precision_weighted,recall_weighted,f1_weighted
1,and1,288,162,0.2,10.0,0.1,0.8948412698412698,0.7986111111111112,0.8040774939751922,0.7986111111111112,0.792965734635757
2,and2,288,162,0.2,10.0,0.1,0.8983134920634921,0.78125,0.8154234654234656,0.78125,0.7637359098228663
3,and3,288,162,0.2,10.0,0.1,0.8998015873015873,0.8090277777777778,0.8250765803397383,0.8090277777777778,0.7985956300260699
4,and4,288,242,0.3,10.0,scale,0.8898809523809524,0.8194444444444444,0.8175096165418746,0.8194444444444444,0.8110796739266345
5,ios1,288,164,0.2,10.0,scale,0.9052579365079364,0.7222222222222222,0.7395040145040146,0.7222222222222222,0.7110623275378133
6,ios2,288,164,0.2,10.0,scale,0.9067460317460317,0.8645833333333334,0.8662433862433863,0.8645833333333334,0.8616259851822161
7,ios3,288,163,0.2,10.0,scale,0.9057539682539683,0.8229166666666666,0.8194444444444444,0.8229166666666666,0.8199944305207463
8,ios4,288,164,0.2,10.0,scale,0.9052579365079366,0.8159722222222222,0.8220688579155397,0.8159722222222222,0.814590132552678
